review_id,review_text,rating,rating_text
en_0894170,"I have mixed feelings about these.

There are things I like about these and things I don't. Pros: They take up very little space and make a lot of ice cubes. The ice cubes are easy to get out of the trays. Cons: The ice cubes take forever to freeze. Since they are silicone and very flexible, it is hard to get the trays from the sink to the freezer without spilling (even with the lids on). I like them and will keep using them, but my husband really doesn't care for them.",2,2
en_0017328,"PERFECT

Our finance team was needing more calculator rolls and could not find any locally. Thank you for having them.",4,4
en_0698107,"The nozzle fell off within 2 weeks. Absolutely the worst quality and it's not returnable. Don't waste your money..

It's hard to be critical of something so inexpensive, but I was not happy with the product. I needed to buy a beach ball for some physical therapy exercises. Many of the Amazon offerings were sold in a package of 12. I didn't need/want 12 beach balls so I purchased this one. Two major complaints: the nozzle to blow up is so short that it is difficult to inflate, and it starts to lose air within less than 30 minutes of inflating. Update: The nozzle just fell apart and I had to throw away. Well, at least I got 2 weeks of rotten use from it. I would recommend that Amazon drop this vendor.",0,0
en_0827451,"Great Value

Buy this light. For the price you will not be disappointed. Truly amazing.",4,4
en_0027902,"Amazing Book Series

Elena Ferrante is a genius. These books transport you to Naples. One can't help but to fall in love with Elena and Lila.",4,4
en_0863125,"One Star

This was never received...",0,0
en_0043475,"Disappointed.

Stitching came undone immediately. Already took tags off so couldn't return. Disappointed.",0,0
en_0178093,"The vet recommended this brand

Seems to be working for my older dog. The vet recommended this brand.",3,3
en_0575555,"configured wrong

The USB was configured incorrectly to fit into my 2016 Hyundai Sonata. When I turned it over so that the USB would connect, the audio connector was on the wrong side. Won't work at all!",0,0
en_0159669,"Not received my order

Have not received over a month ago I ordered this",0,0
en_0519161,"Does not work with the touchscreen they said it would

Only gave one because couldn’t leave no stars. This was the recommended case for the touch screen I got for the raspberry pi. With some drilling and creativity it can be made to work but it’s not an out of the box cover. No instructions either",0,0
en_0159039,"Bought 4 so far

Love these. Bought a total of 4 now. Over time they seem not to stand up like they did brand new, but still like them. Easy to carry up and down stairs, durable, and fit more than a full load of laundry.",3,3
en_0860207,"Five Stars

Great prices and props for my photo booth company.",4,4
en_0948637,"Ok but not worth it

I expected more for what I paid for this. The long part of the frame doesn’t sit even at the middle, so it appears to bow. The photo I included shows the top of the frame against the box, for straight edge reference. It does the job, and I needed to get this photo framed for a project I needed finished tomorrow. Next time I’ll get an assembled, wood or metal frame.",1,1
en_0157055,"Warmth

Its perfect for my purpose, its lite weight is perfect, and so soft and warm. I stopped using an electric blanket because this one is so much more comfortable.",3,3
en_0861247,"MISSING PAGES

When I received this book the first 68 pages were missing. Absolutely unacceptable for even a used book. Makes no sense why it would be shipped like this",0,0
en_0643781,"Color cartridge doesn't work

The color cartridge does not work. I have tried everything that I can think of and my printer will not accept the color cartridge. I have to put the old color cartridge back in the printer just to be able to use the black cartridge.",0,0
en_0596401,"unbreathable item, I though it is because of the ...

unbreathable item, I though it is because of the size; so I decided to replace the item but the issue as a customer you must pay for the refound shipping which cost around 4 dollars and the item itself 9 dollar .. doesn't make any sense !!!!",0,0
en_0941077,"Not that fast lol.

It's a fast charger but it doesn't charge the phone as fast as my plug in. It's nice but a fast cord charger is better.",2,2
en_0016049,"Excellent gift

Perfect Christmas gift for my sister! She loved them. The bands are very difficult to change!",2,2
en_0844396,"Unwatchable

The aspect ratio is so bad I could not watch it. I really wanted to. Why has this not been corrected? Something really out of whack.",0,0
en_0713547,"some of the pictures turn out strange.

Some of the designs are hard to recognize.",3,3
en_0310574,"Defective

Sadly, the pages were alllllll but 3 riped from the book. I wanted to return it but I was involved in a car accident and was unable to. But I’m disappointed that it was sent out in that condition.",0,0
en_0451213,"Eh, ok but not anything special

Not very powerful. Noisy.",1,1
en_0450190,"Beautiful shoes but rhinestone fall off

Beautiful shoes but rhinestone fall off. Found two and replaced them with glue but have lost some permanently. Still like the shoes.",1,1
en_0685973,"Five Stars

Nice color. My cabinet looks like new.",4,4
en_0175844,"Not the best review

It’s very hard to get the handle to lock in you need somebody strong to help you. I can’t get the handle down at all to put it in the car so The handle has to stay up. I’m almost 4 weeks in and it’s not as comfortable as it was in the beginning so the comfort level goes down really fast. Now I am 5 foot 3 1/2. For somebody taller this might be fine for comfort level but for anybody under my height you need to get a kid size. But the cushion also wears down fast under weight I am close to 200 pounds. Losing weight though I’m off my feet because I don’t wanna get any bigger! I am now five weeks into using this scooter and the handle has popped off three times. None of these scooters with this type of wheel or any good on anything but flooring In a house. I tried to use it on a brick paved sidewalk and almost fell face first. Also twigs and small rocks can stop you in your path and turn you over if you’re not careful. Luckily my balances OK so none of that happened but I came close to it more than a dozen times. Again this is for in-home use only but the handle falls off after a few weeks so I would maybe buy something else",1,1
en_0896674,"Very soft but very thin

Very nice quality and incredibly soft. However, they are very thin so you need to fold them in order to wipe more easily, or you need to completely soak them in makeup removing product. It's fine, unless your product is a bit expensive and you only want to use a little, like me.",3,3
en_0219347,"don't have one

Since I have just received this product, I haven't had time to know for sure how it will benefit me. So far, so good.",3,3
en_0303413,"Very low volume

Love them, but the volume is low. I can't hear them without speaker phone.",3,3
en_0465377,"very good product so far

Ordered 18 of these lights to replace aging halogen outdoor landscape lights. All arrived in proper working order. The color options are terrific, which is great for changing colors for various holidays. My only dissapointment is that the white option is not really white. Several other colors show up with the white setting. If you want true white as one of the color options, dont buy these (my reason for taking one star away from the rating). They have held up very well over the four months I've had them installed, and the remote for changing color of the lights is fantastic. Blue, green, and red colors are the most vivid, and the various shades of these colors provide some interesting options. Pinks, purple, and aqua/teal colors are some of the more interesting shades. Yellow and orange shades are ok as well. I do like these very much and would purchase again, but I am exploring some other lighting to add with these that would give me a true white color.",3,3
en_0803843,"Does not last

Did not charge my psp well at all",1,1
en_0429399,"Very durable!

Fits great and has been very durable. I have dropped my phone numerous times and have had no damage to my phone.",4,4
en_0122662,"Two Stars

Have not used this because we cannot figure this out",1,1
en_0111453,"Better than 5 hour energy

Taste is better, works better and cheaper than 5 hour energy!",4,4
en_0391048,"Genuine replacement part, same as original, at great price

Perfect fit in my Kohler toilet. Identical to the original flapper it replaced. I checked the local Ace hardware store, thinking it would have to be cheaper, but the flapper on Amazon was actually three bucks cheaper.",4,4
en_0136803,"Did what it was supposed to

Easy to install and worked to pump fluid to my windshield.",3,3
en_0632593,"Cute

Stick well, peel easy and stay on the wall. Exactly what I was hoping for my nursery. We had painted the walls and no damage done.",4,4
en_0652115,"hinge is poorly made.

the hinge broke after one year - not even a year of heavy use.",1,1
en_0127639,"That's good

That's make me cough be better",4,4
en_0462867,"fine hair. These are hard to put in & ...

I have long, fine hair. These are hard to put in & pull my hair when I take them out.",2,2
en_0790517,"but a good band.

A very solid watch band. A little heavy, and a little hard to adjust the sizing, but a good band.",3,3
en_0045940,"Easy install, dubious packaging, chipped paint.

Easy to install*. Packaging was taped shut (like it was used), the paint on the shifter is marred (as if it was dropped). Other than the unfortunate scratches on the paint, they look very cool. Went ahead and installed it knowing that it’s a Jeep and we’re going to scratch them up anyway. If the paint wasn’t chipped, I’d give it 5 stars. *Install note: It is possible to remove the stock knob without destroying it. Just pop the lower chrome collar loose with a trim removal tool. Once that is free, the knob slides right off. (Same thing for the 4 Wheel transfer knob).",1,1
en_0587216,"Beware of Durability

We have been big fans of PackIt products, as they last with our baby needs and children needs. We also love that we can throw them right into the freezer and they collapse, not taking up much space. I don’t know if there was a change in the product design, but in under three weeks our is already breaking on the inside liner.",1,1
en_0712101,"Too big

Too big for my face. Look good & packages good!! Quick delivery!",2,2
en_0871328,"It is fantastic! I bought similar lights from other websites

It is fantastic! I bought similar lights from other websites, and they have poor quality. Although this one is more expensive than others, I think it is worthy. It is really a good decoration for dorm! I will probably buy one more to give my mother as a gift!",4,4
en_0738347,"It is ok

Not the size I hoped for but that could be partly my fault. It did come in a very nice gift bag with the brand name on it but I just wish that it was a bead or two larger. Otherwise this is a great gift for someone with a petite wrist.",2,2
en_0604508,"CHEAP WAY TO ENTERTAIN CHILDREN

I bought this bubble machine to entertain my grandson since he loves bubbles and has a lot of energy. I was a little taken aback by the flimsy packing box and when I opened it, I was a little disappointed in the quality of the toy itself. I don't know how long it will last, but for now it is working ok. My grandson actually had a different one that also didn't last and seemed like it was made a little better than this one, so, I don't hold out too much hope for it lasting. I will update my review as time passes. So now the frog bub ble machine has been used for a while, and the one thing that has been an issue is that it tends to not blow through all the holes for the bubbles. it is stll working though and that is a plus. I still give it 3 stars",2,2
en_0599209,"Lenses are see-through from the outside

From 10 feet away people can see your eyes. Don't buy.",0,0
en_0121389,"TOO SMALL SIZING INCORRECT

I wear a size 18/20 woman's t-shirt, blouse, etc. Sometimes they call this a 1X . So I ordered a XXL to be sure it would fit. I could barely get this t-shirt over my head and on. Once it was on I could barely breath. The quality & printing on the shirt are GREAT. If they let me return these I am going to order (4) XXXXL to replace them that's how impressed I was the quality.",0,0
en_0347510,"Three Stars

I suggest buying a size bigger than what you are. It is tight on the calves and arms.",2,2
en_0634610,"Trimmer broke, overall good product but not value for money

It was a nice product over all but trimmer Broke after a month.",2,2
en_0649064,"Good product

4/5 from a satisfied customer. I saw a similar product advertised on Facebook and searched for it on Amazon. This was the same product I saw and cheaper. It performs as its supposed to. Unfortunately the size of the glove is too big for my hand.",3,3
en_0376590,"Short life span.

Product only lasted probably 10hrs before shorting out. Used it in bass amp for concerts. Would definitely purchase professional quality next time.",1,1
en_0979567,"Not for little kids

This is not for kids. Horrible. Bloody shark swimming around saying it will of into your room and you will meet your doom. Who approved this and rated it as G?!",0,0
en_0271627,"Great case overall

Great case overall, it's very hard and protects the phone very well. Only thing I dislike a little is the buttons are a bit hard to press, but you get used to over time.",3,3
en_0829087,"function

never really worked. unable to get it to work..",1,1
en_0671261,"Cracks easily

Product as discribed, cracks very easily though. Seems cheap",2,2
en_0916611,"Not the best quality

The company sent me another one as the first bracelet broke in a few days, well this is bracelet number 2 delivered on Monday and broke in the same spot. The quality is just not up to par. I have reached out to the seller because I do in fact need a bracelet that is reliable",0,0
en_0530203,"This item doesn't last long for the cost

I can't say that this product is worth the price. They do not last long and this was my second set. The first ones I purchase broke almost immediately ..at least in time to be able to replace them. Now shortly after receiving the second set they too have broken. But when I checked to get them replaced the return date has passed. I am not happy with this item at all. On the up side my Grandsons LOVED them while they were working. Too bad they broke so quickly",1,1
en_0987332,"really good, absorb dust very quickly

Buy a few days, come back to review after use, really good, absorb dust very quickly, inside have 2 bag to change wash, put on the table to use very convenient",4,4
en_0988912,"Bird Delight

My bird family that lives in our back yard loved this bird food. They are flying in from the neighborhood. Thank you for providing nourishment and joy to my family of birds.",4,4
en_0350843,"Doll

Granddaughter loved it, she’s into anything strawberry!",4,4
en_0465050,"Good fit around ankle for support

Warm and dry. Good fit around ankle for support.",3,3
en_0031345,"Sharp and smooth but gets stuck

Pretty decent and sharp but the middle section gets stuck sometimes...kinda annoying",2,2
en_0809482,"Five Stars

Great bag... just wish it had an extra pocket inside.",4,4
en_0279370,"Always works...... no calling for assistance

Loved it..... a gift that I did not think I would use.... I was wrong. It is great!",4,4
en_0684145,"Doesn’t fit and feels cheap

I dislike the fit it’s very cheep wouldn’t recommend it to anyone",0,0
en_0415630,"Thin but stylish

My son really wanted this hoodie so when it arrived he was pleased. It is very thin however and there were several loose threads. The style is neat and different. For the price I was expecting something a little bit better quality however.",2,2
en_0419690,"Its just o.k.

Its o.k. but not as thick as another brand I previously used. I think the other brand lasted longer in my hair for the day.",2,2
en_0722656,"Great buy!

Ordered for my son who is deployed and he loved it!! He said it was the perfect pre workout!",4,4
en_0420017,"It’s a pleasure.

Just what the doctor ordered. Love the flexibility and range of temperatures.",4,4
en_0203114,"Miss

I wish I could give 5 stars. As far as the glasses go, I absolutely love them. But three glasses arrived completely shattered",2,2
en_0398272,"The dogs love them.

They are sticky but probably because of the heat -- they were in the mail box and we had high temps in AR",3,3
en_0375382,"Necessary for travel in Europe.

Helpful on my trip to the UK. The computer chargeing ports are a nice extra",3,3
en_0530198,"Four Stars

Bought these to cycle through a newly bought shotgun. Did not jam.",3,3
en_0147257,"Works like a charm....

We received this today. It's beautiful. Love the shiny chrome. Easy to install. Took about 10 minutes. Just needed to open up the battery compartment to add six AA batteries and the liquid hand soap. Screwed in the three screws and placed it on our bathroom wall. Works like a charm!",4,4
en_0880725,"If you have large indoor plants it a must!

It made it so much easier to rotate my inside plants!",4,4
en_0735534,"Five Stars

Solid construction. Not as flimsy as the other inexpensive type C cords out there.",4,4
en_0710645,"Well-made and attractive

This is a well-made, very attractive alarm. I received an outdated instructions sheet so when I emailed the company with a question, I received immediate, helpful response. I’m very impressed with this company.",4,4
en_0710143,"Don't buy

Not easy to use at all",0,0
en_0072667,"Disappointed

I thought i was receiving two dog jackets. As shown in the picture. I only received the red coat. Picture is misleading and i am disappointed. I am a frequent buyer from amazon. Very disappointed, misleading with the picture above.",1,1
en_0530380,"Just ok.

It was ok needs jewellery to make it look great.",3,3
en_0930598,"Spring is not very easy to use

Spring is not easy to use. The other items are great",2,2
en_0948421,"Sexy and exactly as described

This is my second one from Oh La La Cheri because it fits perfectly, is actually open crotch in the right spot, is comfortable and made well enough to last a while. My fiancé loves it.",3,3
en_0475515,"Ink smudges right side of paper all copies

Ink smudges every 2 inches on right edge of paper, all copies , not quality I need to be sending to clients, learned my lesson , 14 $ for two cartridges , will go back to others I ordered that worked fine, pay a little more , get it done right the first time",1,1
en_0481847,"worst smells like chemicals I hate it never bought powder ...

worst smells like chemicals I hate it never bought powder worst than this afraid to use and get an acne",0,0
en_0129293,"Is this normal??? What is that?

I have never ordered this brand but heard great things, not sure if those brown areas are normal or not",2,2
en_0466919,"The rubber smell is very strong. But, a great set of mats.

They’re great, durable and fit well. I do recommend setting them outdoors to air out for a few days until you put them in your car.",3,3
en_0657453,"I would not recommend or buy again

These show with every pair of shoes I have tried then with. They have seams on the toes which make them uncomfortable.",0,0
en_0131147,"Small but good.

These are plain pitted prunes, on the small side and a little dry, with excellent flavor. You may need more of them than usual to create a laxative effect. But they are easy to eat straight from the package and absolutely fine with oatmeal or yogurt in the morning. I ordered them when my local grocery was out of prunes for some reason and was glad to be able to get these from Amazon.",3,3
en_0343898,"Don't know why I picked these

For some reason, I bought these to ride my bike with in the cold. They suck for that. Not bad for just walking around, though. I didn't know they were touchscreen compatible til I saw the description again, so I can't comment on how well they work on a cellphone.",2,2
en_0483326,"Runs small

The size was off, I usually wear a lrg. or x-lrg. But this was snug I wanted to order larger but was sold out.",0,0
en_0930091,"Does not clog like other pens

Writes smoothly and cleanly. Does not dry up and clog between uses. I use it for drawing. I have the extra fine and just ordered the medium. It arrived with the barrel snapped in three pieces. It was shipped in a flexible bubble envelope which probably got bent during shipping. This item is not returnable, but when I contacted Amazon, I did receive a refund. So I am going to order it again and hope it arrives undamaged.",3,3
en_0622932,"Five Stars

Great product. Delivered timely.",4,4
en_0697431,"Too heavy to stay in place

This fascinator looked cute when I did not move, but it was too heavy to stay in place. I used the clip on the headband, but the whole thing kept falling forward on my forehead. At the Derby party, I tried taking it off the headband and just clipping it to my hair, but it still was too heavy to stay in place and kept sliding down. It was uncomfortable, and I finally just had to take it off so it did not fall down into my mint julep. :)",1,1
en_0330315,"Very comfortable and soft.

Nice pair of leggings. Very comfortable. I haven’t wash them yet but they seem safe. If not, I’ll update.",4,4
en_0544595,"Horrible tool head broke loosening a bolt

Horrible tool. Went to loosen a bolt and the head of the tool broke.",0,0
en_0468609,"I'm so disappointed..

I purchased this item to use for my sons prom send off, the only balloons that were able to be used were the latex ones, no foil balloons could be used, also the discription shows a 2018, I was sent a 2019, which means the day of prom last minute I had to go and purchase the correct numbers which cost me an extra 40 dollars... I'm so disappointed..",0,0
en_0356289,"Good screen. Hate that is used the GPIO

Good screen for the money - looks good. Just hate that it uses most of the GPIO pins which keep them from being used for other things. Otherwise pretty nice.",3,3
en_0548600,"Kids love it. I bought two.

Very good toy. Very tuff to.",4,4
en_0489815,"2 markers were dried out and unusable

2 of my markers were dry. The f Green and purple markers were completely dry. Unsatisfactory",0,0
en_0785924,"Trite. Patronizing. Shallow.

Do yourself a favor and check it out from the library before buying this book. Wish I had. Trust your gut instinct. That's it. Nothing more.",1,1
en_0300154,"I like them because sometimes you order thing that are not ...

I like them because sometimes you order thing that are not the size they say. these are large the size they say love them.",4,4
en_0982224,"Tree is beautiful, as provided base can not hold up to winds

Tree is beautiful and lights are the perfect brightness. Sadly, the first windy day the tree broke off of the base. Specifically, the metal tore above all of the 4 spot welds holding the lower tree's part's metal tube to the base. I solved the problem by creating a new base using 18"" long 1/2"" black iron pipe to push inside the tree's metal tube, then attached that to a 1/2"" black iron pipe flange. This flange was then welded to 4 legs of 2"" angle iron, each 15"" long. The base is then held down with 2 sandbags.",3,3
en_0368903,"Not a happy customer

Much smaller than anticipated, the picture looks like it’s a man’s bracelet when in reality it’s more for a woman. The clasp is impossible to use one handed making it impossible to put on alone, must have help. I will be returning and not recommending this to anyone.",1,1
en_0175552,"Very nice

Very nice keepsake box, Purchased for a gift.",3,3
en_0740744,"A surprisingly compelling book.

I was stunned by this book held my interest throughout. The relationship between the two lead female characters was an unexpected, but welcome development. Although I received the book from instant freebies, I highly recommend it. I am looking forward to the rest of the series.",3,3
en_0609941,"pricey

best buy is at Costco or Smith&Final",3,3
en_0871091,"Two container is a Plus

I found it easy to set up but it is a little tricky getting it to lock in place so you can use it. I haven't placed it in the dishwasher so I can't say that it's dishwasher safe. It easier to use a bottle brush and clean it with soap and water. I love having two bottles. Great for the price.",3,3
en_0615094,"Defective

The shot glasses are all scratched up. Poor quality. Will not but again.",0,0
en_0120992,"Color

The antelope color is not the same as I expected it to be. Looks different online.",3,3
en_0046703,"very cute

looks better in person than online. somewhat hard to tighten the band by yourself, also can be uncomfortable if you tighten too much since it is not a flexible band.",3,3
en_0301633,"Fits awkward. Only buy if you're short and petite.

The top was a bit tight and I'm a 36 B. I got a medium. I prob would still wear top but underboob is inevitable since the straps are not adjustable. Otherwise the top was cute. Bottoms fit weird and where the strappy parts are on each side the inner lining (tan/white material) showed no matter what and looked super odd. Not cute at all. Maybe I am just too wide for them. I have a 26"" waist. Def for SHORT PETITE people.",1,1
en_0801738,"Yuck

These are inedible. I am a health food freak and I have tried many products over the years that have been awful tasting but this tops the cake. I have never tasted a cough drop so disgusting in my life",0,0
en_0928484,"Product not working

The product just work a few days, and broken.",0,0
en_0765094,"Would love to use, but can't!

I gave this mascara 2 stars, because I would love to use it; although I cannot. The wand is in very poor condition, the brush fibers are falling off and are crushed. For $28 I am very, very disappointed. It did not appear in great, new condition when it arrived.",1,1
en_0445966,"what

I am vision impaired and thought this tape would highlight places I need to see. I left it in the sun for a day, applied it, and hoped for the best. Result? Nothing. I can tell the tape is there only by feeling.",0,0
en_0297707,"It's A Chair

This chair is fine. It's a little too rolly, also it doesn't recline unless you pull the lever, which is a little weird but I guess I get it. Okay chair--you get what you pay for.",2,2
en_0463467,"Very happy with my purchase

Very happy with my purchase. It was an excellent price, and the product was just as described, Looks great in my home theater!",4,4
en_0301849,"Failed July 2018.

Purchased this and one week later it failed. Cannot reach Polycom for replacement. Returning to Amazon as defective.",0,0
en_0278750,"He was so disappointed because there were no lights or sounds as it ...

This was a gift for my grandson. He was so disappointed because there were no lights or sounds as it said on the box. The drill only turned one way. Not happy with it at all.",4,4
en_0208780,"Cute but issues

I bought two chairs and was super excited to put them together. These are definitely cute and are nice quality. The directions are easy enough to follow and you can quickly put one of these together. Main pain points: two chairs- one had an extra screw, the other had two defective screws. One chair had a washer for the “neck” piece, the other didn’t. Biggest issue, whether you use a drill or screw driver, you will see the tips of the screws poke through the face of the animal (see picture). If you try to avoid this and don’t screw them in as far, you’re left with a wobbly chair. A disappointing finish to what could be a great piece.",2,2
en_0783728,"Great quality for a reasonable price

Great quality for a reasonable price. I used this at a baby shower I hosted and everyone was impressed! SO pretty!!",3,3
en_0671226,"I loved this book

I loved this book!! Willa is a strong, fierce and loving girl, in the style of Robert Beatty's best-selling protagonist Serafina series, but with a world and storyline all her own. The fantasy world is beautifully detailed with magic and tension and tenderness throughout.",4,4
en_0626833,"Great for small children

Got this for my 7 year old. He loves police officers and this puppet was the perfect size for him. Gives him hours of enjoyment too. This was shipped out fast and very well made. I highly recommend.",4,4
en_0316948,"Good bag, but...

I bought this a little over three months ago, and while I thought it was a good bag up until now, the bag's strap snapped as I picked it up while leaving the gym. I'd recommend this bag if you need something on the cheaper side but I'm not sure if just my bag is like this or if this is routine.",2,2
en_0314139,"Doesn’t hold up

Lasted a whopping two weeks before it ripped with minimal usage of my AirPods. Not worth the money but too late to return. On the plus size, it was easy to install and looked really nice before it ripped. Maybe I got a bad batch?",1,1
en_0162495,"Nice!

I got these because i saw them featured (not this particular brand) on a talk show. They are nice, and will keep out the sun from damaging your eyes and causing wrinkles....very cool!",3,3
en_0114867,"IT WAS USED!!!

Bought as a new one, but it was used! Verry disappointed!",0,0
en_0007157,"Doesn't connect well

Nunchuck plug doesn't fit well.. and falls apart upon removal. Also loses sync with wii frequently.",1,1
en_0543483,"Great Value/Some Minor Issues

Update: Its ok diaper cream. It separates very easily and it does have a very ROSE LIKE smell. I am still going to use it but not sure I will keep using this brand. I prefer the Target and Walmart brand better so far.",2,2
en_0484691,"Four Stars

So soft. Just watch the stitching",3,3
en_0503522,"Would buy again

Works well. So do real cameras :) would buy again.",4,4
en_0864539,"If range and sound quality are an issue

Overall product is well constructed, Holds a charge well 2 or 3 uses before recharging. The fit is well for me and my wife however,the range is only about 4 tractor trailer lengths away before losing contact and the sound quality is not what I expected for what I paid...its not a packed crisp sound...but more or less a crackly weak sound, not a bad product , I just want the reader to know what yo expect before you spend over 300.00 like I did expecting a little more.",2,2
en_0879334,"Decent hat for the price

It's a decent hat for the price. For me, the stitching was odd so the hat looked cheaply made. But that's just me, I'm quite picky. Overall it's a decent hat for the price.",2,2
en_0611561,"Case is too small for iPhone 11

Just got the case and it’s too small. What the heck??? Anyone else had this problem???",0,0
en_0338598,"Great quality

I use this product in my bedroom which is facing south with too much sunlight. This curtain works well blocking the sunlight. And the price is good.",4,4
en_0583703,"Easy to install and operate.

I used these strips for accent lighting behind my PC monitor and under the shelf that it sits on. Very easy to install and operate. The instructions are very clear for setup and couldn’t have been easier to follow. I wish I could find one or two more of the extension/connector cables by themselves that match what’s in the package so I can put these strips in different places for various lighting, but I guess I’ll have to stick with what I have.",4,4
en_0716667,"The appearance is beautiful and I love the color

I really want to give this suit a 5 star but I can’t. The appearance is beautiful and I love the color. But sadly the top is to big. I followed the sizing chart for around the bust size. It all fits there but the cup size in a xxl looks as if it is a triple d or a double d. I am a larger girl being 249 but my chest is smaller. Would love to exchange sizes but cant find anywhere to message sender.",0,0
en_0143661,"The things one does for the seventies' gossip.

I learned a lot about George, about Eric, about the hippie London of earlier 60s. Also now I think Pattie is an extraordinary woman and I am glad that I can see at that juicy part of history in a different and more healthy light.",2,2
en_0903957,"Run small

Is OK but runs small",3,3
en_0942365,"Our Son Loves it!

Our son loves this costume, I don’t, necessarily because the picture online makes it appear to be a shiny and body fitting costume but it is not. The shiny part is actually white designs and not necessarily body fitting. It is padded which I do like.",4,4
en_0099474,"and like every other pair of jeans/shorts I buy

I ordered a size up because my butt is larger than the rest of me, and like every other pair of jeans/shorts I buy, the waist is too big. You can see my underwear in these if I don’t have something underneath. They are good quality though.",3,3
en_0256008,"Five Stars

i loved it! it came in great condition as well",4,4
en_0766278,"Four Stars

I just wish it would save the names.",3,3
en_0075406,"Tore in 4 Months

The leash was good before it ripped. My dog is 45 pounds, order the medium, she is strong and pulls sometimes, but is not a persistent puller. The leash ripped and is no longer usable after 4 months...",1,1
en_0932339,"Not perfect

I have lots of problems with this rice cooker because the liquid often steams out and the rice doesn't get enough liquid. There is no hole in the lid to allow some steam out.",2,2
en_0875359,"wire broke off on inside

wire broke off on inside",1,1
en_0342974,"too bulky

i think that says it all .",2,2
en_0067401,"Doors are tough to install straight

I read anothers review of this item and agree, the doors are tough to hang straight. Also be careful of the backing screws as in the middle front lower shelf you can see how the screws broke away the bottom shelf. Otherwise its great!",2,2
en_0695203,"Arrived torn.

I wasn't so excited to get this float but I will be returning it. Immediately upon inflating it I discovered a large tear in the stitching. The tear doesn't let air out, but since its along the stitching I can tell it will only get worse. Other than the tear the float is very nice and I'm sure I would have spent many happy pool days in it.",1,1
en_0227777,"Two Stars

nice gag gift but rather small",1,1
en_0901276,"Great work knife!

Great knife for the money. As other reviews have noted, this is a bulky knife. Not something you’d want to carry in your pocket everyday. Blade is nice and solid/thick, and sharp, but the action is not as smooth or lightening fast as I was hoping it would be. Overall, solid everyday work knife for sure!",3,3
en_0105824,"Missing Parts

Watch came without extra sizing links. Cannot purchase the links without purchasing a new $180 band. Will be returning",0,0
en_0020600,"Nice

They are comfortable except hard to get used to with the controls ..... buttons in odd places",3,3
en_0675347,"Got a very nice thank you card

Was a baby shower gift that was on the baby register list. Got a very nice thank you card.",4,4
en_0731641,"Four Stars

Overall good product, except for handset screen could be brighter to read",3,3
en_0517024,"Too early to determine durability

Feels quality for the price. As advertised.",4,4
en_0341957,"A good buy

I like the colors and the staying power of these glosses. A good value for my money. They are a bit sticky so only 4 stars.",3,3
