review_id,review_text,rating,rating_text,processed_text
en_0698107,"The nozzle fell off within 2 weeks. Absolutely the worst quality and it's not returnable. Don't waste your money..

It's hard to be critical of something so inexpensive, but I was not happy with the product. I needed to buy a beach ball for some physical therapy exercises. Many of the Amazon offerings were sold in a package of 12. I didn't need/want 12 beach balls so I purchased this one. Two major complaints: the nozzle to blow up is so short that it is difficult to inflate, and it starts to lose air within less than 30 minutes of inflating. Update: The nozzle just fell apart and I had to throw away. Well, at least I got 2 weeks of rotten use from it. I would recommend that Amazon drop this vendor.",0,0,nozzle fell within week absolutely worst quality returnable waste money hard critical something inexpensive happy product needed buy beach ball physical therapy exercise many amazon offering sold package need want beach ball purchased one two major complaint nozzle blow short difficult inflate start lose air within less minute inflating update nozzle fell apart throw away well least got week rotten use would recommend amazon drop vendor
en_0827451,"Great Value

Buy this light. For the price you will not be disappointed. Truly amazing.",4,4,great value buy light price disappointed truly amazing
en_0027902,"Amazing Book Series

Elena Ferrante is a genius. These books transport you to Naples. One can't help but to fall in love with Elena and Lila.",4,4,amazing book series elena ferrante genius book transport naples one help fall love elena lila
en_0863125,"One Star

This was never received...",0,0,one star never received
en_0043475,"Disappointed.

Stitching came undone immediately. Already took tags off so couldn't return. Disappointed.",0,0,disappointed stitching came undone immediately already took tag return disappointed
en_0178093,"The vet recommended this brand

Seems to be working for my older dog. The vet recommended this brand.",3,3,vet recommended brand seems working older dog vet recommended brand
en_0575555,"configured wrong

The USB was configured incorrectly to fit into my 2016 Hyundai Sonata. When I turned it over so that the USB would connect, the audio connector was on the wrong side. Won't work at all!",0,0,configured wrong usb configured incorrectly fit hyundai sonata turned usb would connect audio connector wrong side work
en_0159669,"Not received my order

Have not received over a month ago I ordered this",0,0,received order received month ago ordered
en_0519161,"Does not work with the touchscreen they said it would

Only gave one because couldn’t leave no stars. This was the recommended case for the touch screen I got for the raspberry pi. With some drilling and creativity it can be made to work but it’s not an out of the box cover. No instructions either",0,0,work touchscreen said would gave one leave star recommended case touch screen got raspberry pi drilling creativity made work box cover instruction either
en_0159039,"Bought 4 so far

Love these. Bought a total of 4 now. Over time they seem not to stand up like they did brand new, but still like them. Easy to carry up and down stairs, durable, and fit more than a full load of laundry.",3,3,bought far love bought total time seem stand like brand new still like easy carry stair durable fit full load laundry
en_0860207,"Five Stars

Great prices and props for my photo booth company.",4,4,five star great price prop photo booth company
en_0948637,"Ok but not worth it

I expected more for what I paid for this. The long part of the frame doesn’t sit even at the middle, so it appears to bow. The photo I included shows the top of the frame against the box, for straight edge reference. It does the job, and I needed to get this photo framed for a project I needed finished tomorrow. Next time I’ll get an assembled, wood or metal frame.",1,1,ok worth expected paid long part frame sit even middle appears bow photo included show top frame box straight edge reference job needed get photo framed project needed finished tomorrow next time get assembled wood metal frame
en_0157055,"Warmth

Its perfect for my purpose, its lite weight is perfect, and so soft and warm. I stopped using an electric blanket because this one is so much more comfortable.",3,3,warmth perfect purpose lite weight perfect soft warm stopped using electric blanket one much comfortable
en_0861247,"MISSING PAGES

When I received this book the first 68 pages were missing. Absolutely unacceptable for even a used book. Makes no sense why it would be shipped like this",0,0,missing page received book first page missing absolutely unacceptable even used book make sense would shipped like
en_0643781,"Color cartridge doesn't work

The color cartridge does not work. I have tried everything that I can think of and my printer will not accept the color cartridge. I have to put the old color cartridge back in the printer just to be able to use the black cartridge.",0,0,color cartridge work color cartridge work tried everything think printer accept color cartridge put old color cartridge back printer able use black cartridge
en_0596401,"unbreathable item, I though it is because of the ...

unbreathable item, I though it is because of the size; so I decided to replace the item but the issue as a customer you must pay for the refound shipping which cost around 4 dollars and the item itself 9 dollar .. doesn't make any sense !!!!",0,0,unbreathable item though unbreathable item though size decided replace item issue customer must pay refound shipping cost around dollar item dollar make sense
en_0941077,"Not that fast lol.

It's a fast charger but it doesn't charge the phone as fast as my plug in. It's nice but a fast cord charger is better.",2,2,fast lol fast charger charge phone fast plug nice fast cord charger better
en_0016049,"Excellent gift

Perfect Christmas gift for my sister! She loved them. The bands are very difficult to change!",2,2,excellent gift perfect christmas gift sister loved band difficult change
en_0844396,"Unwatchable

The aspect ratio is so bad I could not watch it. I really wanted to. Why has this not been corrected? Something really out of whack.",0,0,unwatchable aspect ratio bad could watch really wanted corrected something really whack
en_0713547,"some of the pictures turn out strange.

Some of the designs are hard to recognize.",3,3,picture turn strange design hard recognize
en_0310574,"Defective

Sadly, the pages were alllllll but 3 riped from the book. I wanted to return it but I was involved in a car accident and was unable to. But I’m disappointed that it was sent out in that condition.",0,0,defective sadly page alllllll riped book wanted return involved car accident unable disappointed sent condition
en_0451213,"Eh, ok but not anything special

Not very powerful. Noisy.",1,1,eh ok anything special powerful noisy
en_0450190,"Beautiful shoes but rhinestone fall off

Beautiful shoes but rhinestone fall off. Found two and replaced them with glue but have lost some permanently. Still like the shoes.",1,1,beautiful shoe rhinestone fall beautiful shoe rhinestone fall found two replaced glue lost permanently still like shoe
en_0685973,"Five Stars

Nice color. My cabinet looks like new.",4,4,five star nice color cabinet look like new
en_0175844,"Not the best review

It’s very hard to get the handle to lock in you need somebody strong to help you. I can’t get the handle down at all to put it in the car so The handle has to stay up. I’m almost 4 weeks in and it’s not as comfortable as it was in the beginning so the comfort level goes down really fast. Now I am 5 foot 3 1/2. For somebody taller this might be fine for comfort level but for anybody under my height you need to get a kid size. But the cushion also wears down fast under weight I am close to 200 pounds. Losing weight though I’m off my feet because I don’t wanna get any bigger! I am now five weeks into using this scooter and the handle has popped off three times. None of these scooters with this type of wheel or any good on anything but flooring In a house. I tried to use it on a brick paved sidewalk and almost fell face first. Also twigs and small rocks can stop you in your path and turn you over if you’re not careful. Luckily my balances OK so none of that happened but I came close to it more than a dozen times. Again this is for in-home use only but the handle falls off after a few weeks so I would maybe buy something else",1,1,best review hard get handle lock need somebody strong help get handle put car handle stay almost week comfortable beginning comfort level go really fast foot somebody taller might fine comfort level anybody height need get kid size cushion also wear fast weight close pound losing weight though foot wanna get bigger five week using scooter handle popped three time none scooter type wheel good anything flooring house tried use brick paved sidewalk almost fell face first also twig small rock stop path turn careful luckily balance ok none happened came close dozen time home use handle fall week would maybe buy something else
en_0896674,"Very soft but very thin

Very nice quality and incredibly soft. However, they are very thin so you need to fold them in order to wipe more easily, or you need to completely soak them in makeup removing product. It's fine, unless your product is a bit expensive and you only want to use a little, like me.",3,3,soft thin nice quality incredibly soft however thin need fold order wipe easily need completely soak makeup removing product fine unless product bit expensive want use little like
en_0219347,"don't have one

Since I have just received this product, I haven't had time to know for sure how it will benefit me. So far, so good.",3,3,one since received product time know sure benefit far good
en_0303413,"Very low volume

Love them, but the volume is low. I can't hear them without speaker phone.",3,3,low volume love volume low hear without speaker phone
en_0465377,"very good product so far

Ordered 18 of these lights to replace aging halogen outdoor landscape lights. All arrived in proper working order. The color options are terrific, which is great for changing colors for various holidays. My only dissapointment is that the white option is not really white. Several other colors show up with the white setting. If you want true white as one of the color options, dont buy these (my reason for taking one star away from the rating). They have held up very well over the four months I've had them installed, and the remote for changing color of the lights is fantastic. Blue, green, and red colors are the most vivid, and the various shades of these colors provide some interesting options. Pinks, purple, and aqua/teal colors are some of the more interesting shades. Yellow and orange shades are ok as well. I do like these very much and would purchase again, but I am exploring some other lighting to add with these that would give me a true white color.",3,3,good product far ordered light replace aging halogen outdoor landscape light arrived proper working order color option terrific great changing color various holiday dissapointment white option really white several color show white setting want true white one color option dont buy reason taking one star away rating held well four month installed remote changing color light fantastic blue green red color vivid various shade color provide interesting option pink purple aqua teal color interesting shade yellow orange shade ok well like much would purchase exploring lighting add would give true white color
en_0803843,"Does not last

Did not charge my psp well at all",1,1,last charge psp well
en_0429399,"Very durable!

Fits great and has been very durable. I have dropped my phone numerous times and have had no damage to my phone.",4,4,durable fit great durable dropped phone numerous time damage phone
en_0122662,"Two Stars

Have not used this because we cannot figure this out",1,1,two star used cannot figure
en_0111453,"Better than 5 hour energy

Taste is better, works better and cheaper than 5 hour energy!",4,4,better hour energy taste better work better cheaper hour energy
en_0391048,"Genuine replacement part, same as original, at great price

Perfect fit in my Kohler toilet. Identical to the original flapper it replaced. I checked the local Ace hardware store, thinking it would have to be cheaper, but the flapper on Amazon was actually three bucks cheaper.",4,4,genuine replacement part original great price perfect fit kohler toilet identical original flapper replaced checked local ace hardware store thinking would cheaper flapper amazon actually three buck cheaper
en_0136803,"Did what it was supposed to

Easy to install and worked to pump fluid to my windshield.",3,3,supposed easy install worked pump fluid windshield
en_0632593,"Cute

Stick well, peel easy and stay on the wall. Exactly what I was hoping for my nursery. We had painted the walls and no damage done.",4,4,cute stick well peel easy stay wall exactly hoping nursery painted wall damage done
en_0652115,"hinge is poorly made.

the hinge broke after one year - not even a year of heavy use.",1,1,hinge poorly made hinge broke one year even year heavy use
en_0127639,"That's good

That's make me cough be better",4,4,good make cough better
en_0462867,"fine hair. These are hard to put in & ...

I have long, fine hair. These are hard to put in & pull my hair when I take them out.",2,2,fine hair hard put long fine hair hard put pull hair take
en_0790517,"but a good band.

A very solid watch band. A little heavy, and a little hard to adjust the sizing, but a good band.",3,3,good band solid watch band little heavy little hard adjust sizing good band
en_0045940,"Easy install, dubious packaging, chipped paint.

Easy to install*. Packaging was taped shut (like it was used), the paint on the shifter is marred (as if it was dropped). Other than the unfortunate scratches on the paint, they look very cool. Went ahead and installed it knowing that it’s a Jeep and we’re going to scratch them up anyway. If the paint wasn’t chipped, I’d give it 5 stars. *Install note: It is possible to remove the stock knob without destroying it. Just pop the lower chrome collar loose with a trim removal tool. Once that is free, the knob slides right off. (Same thing for the 4 Wheel transfer knob).",1,1,easy install dubious packaging chipped paint easy install packaging taped shut like used paint shifter marred dropped unfortunate scratch paint look cool went ahead installed knowing jeep going scratch anyway paint chipped give star install note possible remove stock knob without destroying pop lower chrome collar loose trim removal tool free knob slide right thing wheel transfer knob
en_0587216,"Beware of Durability

We have been big fans of PackIt products, as they last with our baby needs and children needs. We also love that we can throw them right into the freezer and they collapse, not taking up much space. I don’t know if there was a change in the product design, but in under three weeks our is already breaking on the inside liner.",1,1,beware durability big fan packit product last baby need child need also love throw right freezer collapse taking much space know change product design three week already breaking inside liner
en_0712101,"Too big

Too big for my face. Look good & packages good!! Quick delivery!",2,2,big big face look good package good quick delivery
en_0871328,"It is fantastic! I bought similar lights from other websites

It is fantastic! I bought similar lights from other websites, and they have poor quality. Although this one is more expensive than others, I think it is worthy. It is really a good decoration for dorm! I will probably buy one more to give my mother as a gift!",4,4,fantastic bought similar light website fantastic bought similar light website poor quality although one expensive others think worthy really good decoration dorm probably buy one give mother gift
en_0738347,"It is ok

Not the size I hoped for but that could be partly my fault. It did come in a very nice gift bag with the brand name on it but I just wish that it was a bead or two larger. Otherwise this is a great gift for someone with a petite wrist.",2,2,ok size hoped could partly fault come nice gift bag brand name wish bead two larger otherwise great gift someone petite wrist
en_0604508,"CHEAP WAY TO ENTERTAIN CHILDREN

I bought this bubble machine to entertain my grandson since he loves bubbles and has a lot of energy. I was a little taken aback by the flimsy packing box and when I opened it, I was a little disappointed in the quality of the toy itself. I don't know how long it will last, but for now it is working ok. My grandson actually had a different one that also didn't last and seemed like it was made a little better than this one, so, I don't hold out too much hope for it lasting. I will update my review as time passes. So now the frog bub ble machine has been used for a while, and the one thing that has been an issue is that it tends to not blow through all the holes for the bubbles. it is stll working though and that is a plus. I still give it 3 stars",2,2,cheap way entertain child bought bubble machine entertain grandson since love bubble lot energy little taken aback flimsy packing box opened little disappointed quality toy know long last working ok grandson actually different one also last seemed like made little better one hold much hope lasting update review time pass frog bub ble machine used one thing issue tends blow hole bubble stll working though plus still give star
en_0599209,"Lenses are see-through from the outside

From 10 feet away people can see your eyes. Don't buy.",0,0,lens see outside foot away people see eye buy
en_0121389,"TOO SMALL SIZING INCORRECT

I wear a size 18/20 woman's t-shirt, blouse, etc. Sometimes they call this a 1X . So I ordered a XXL to be sure it would fit. I could barely get this t-shirt over my head and on. Once it was on I could barely breath. The quality & printing on the shirt are GREAT. If they let me return these I am going to order (4) XXXXL to replace them that's how impressed I was the quality.",0,0,small sizing incorrect wear size woman shirt blouse etc sometimes call x ordered xxl sure would fit could barely get shirt head could barely breath quality printing shirt great let return going order xxxxl replace impressed quality
en_0347510,"Three Stars

I suggest buying a size bigger than what you are. It is tight on the calves and arms.",2,2,three star suggest buying size bigger tight calf arm
en_0634610,"Trimmer broke, overall good product but not value for money

It was a nice product over all but trimmer Broke after a month.",2,2,trimmer broke overall good product value money nice product trimmer broke month
en_0649064,"Good product

4/5 from a satisfied customer. I saw a similar product advertised on Facebook and searched for it on Amazon. This was the same product I saw and cheaper. It performs as its supposed to. Unfortunately the size of the glove is too big for my hand.",3,3,good product satisfied customer saw similar product advertised facebook searched amazon product saw cheaper performs supposed unfortunately size glove big hand
en_0376590,"Short life span.

Product only lasted probably 10hrs before shorting out. Used it in bass amp for concerts. Would definitely purchase professional quality next time.",1,1,short life span product lasted probably hr shorting used bass amp concert would definitely purchase professional quality next time
en_0979567,"Not for little kids

This is not for kids. Horrible. Bloody shark swimming around saying it will of into your room and you will meet your doom. Who approved this and rated it as G?!",0,0,little kid kid horrible bloody shark swimming around saying room meet doom approved rated g
en_0271627,"Great case overall

Great case overall, it's very hard and protects the phone very well. Only thing I dislike a little is the buttons are a bit hard to press, but you get used to over time.",3,3,great case overall great case overall hard protects phone well thing dislike little button bit hard press get used time
en_0829087,"function

never really worked. unable to get it to work..",1,1,function never really worked unable get work
en_0671261,"Cracks easily

Product as discribed, cracks very easily though. Seems cheap",2,2,crack easily product discribed crack easily though seems cheap
en_0916611,"Not the best quality

The company sent me another one as the first bracelet broke in a few days, well this is bracelet number 2 delivered on Monday and broke in the same spot. The quality is just not up to par. I have reached out to the seller because I do in fact need a bracelet that is reliable",0,0,best quality company sent another one first bracelet broke day well bracelet number delivered monday broke spot quality par reached seller fact need bracelet reliable
en_0530203,"This item doesn't last long for the cost

I can't say that this product is worth the price. They do not last long and this was my second set. The first ones I purchase broke almost immediately ..at least in time to be able to replace them. Now shortly after receiving the second set they too have broken. But when I checked to get them replaced the return date has passed. I am not happy with this item at all. On the up side my Grandsons LOVED them while they were working. Too bad they broke so quickly",1,1,item last long cost say product worth price last long second set first one purchase broke almost immediately least time able replace shortly receiving second set broken checked get replaced return date passed happy item side grandson loved working bad broke quickly
en_0987332,"really good, absorb dust very quickly

Buy a few days, come back to review after use, really good, absorb dust very quickly, inside have 2 bag to change wash, put on the table to use very convenient",4,4,really good absorb dust quickly buy day come back review use really good absorb dust quickly inside bag change wash put table use convenient
en_0988912,"Bird Delight

My bird family that lives in our back yard loved this bird food. They are flying in from the neighborhood. Thank you for providing nourishment and joy to my family of birds.",4,4,bird delight bird family life back yard loved bird food flying neighborhood thank providing nourishment joy family bird
en_0350843,"Doll

Granddaughter loved it, she’s into anything strawberry!",4,4,doll granddaughter loved anything strawberry
en_0465050,"Good fit around ankle for support

Warm and dry. Good fit around ankle for support.",3,3,good fit around ankle support warm dry good fit around ankle support
en_0031345,"Sharp and smooth but gets stuck

Pretty decent and sharp but the middle section gets stuck sometimes...kinda annoying",2,2,sharp smooth get stuck pretty decent sharp middle section get stuck sometimes kinda annoying
en_0809482,"Five Stars

Great bag... just wish it had an extra pocket inside.",4,4,five star great bag wish extra pocket inside
en_0279370,"Always works...... no calling for assistance

Loved it..... a gift that I did not think I would use.... I was wrong. It is great!",4,4,always work calling assistance loved gift think would use wrong great
en_0684145,"Doesn’t fit and feels cheap

I dislike the fit it’s very cheep wouldn’t recommend it to anyone",0,0,fit feel cheap dislike fit cheep recommend anyone
en_0415630,"Thin but stylish

My son really wanted this hoodie so when it arrived he was pleased. It is very thin however and there were several loose threads. The style is neat and different. For the price I was expecting something a little bit better quality however.",2,2,thin stylish son really wanted hoodie arrived pleased thin however several loose thread style neat different price expecting something little bit better quality however
en_0419690,"Its just o.k.

Its o.k. but not as thick as another brand I previously used. I think the other brand lasted longer in my hair for the day.",2,2,k k thick another brand previously used think brand lasted longer hair day
en_0722656,"Great buy!

Ordered for my son who is deployed and he loved it!! He said it was the perfect pre workout!",4,4,great buy ordered son deployed loved said perfect pre workout
en_0420017,"It’s a pleasure.

Just what the doctor ordered. Love the flexibility and range of temperatures.",4,4,pleasure doctor ordered love flexibility range temperature
en_0203114,"Miss

I wish I could give 5 stars. As far as the glasses go, I absolutely love them. But three glasses arrived completely shattered",2,2,miss wish could give star far glass go absolutely love three glass arrived completely shattered
en_0398272,"The dogs love them.

They are sticky but probably because of the heat -- they were in the mail box and we had high temps in AR",3,3,dog love sticky probably heat mail box high temp ar
en_0375382,"Necessary for travel in Europe.

Helpful on my trip to the UK. The computer chargeing ports are a nice extra",3,3,necessary travel europe helpful trip uk computer chargeing port nice extra
en_0530198,"Four Stars

Bought these to cycle through a newly bought shotgun. Did not jam.",3,3,four star bought cycle newly bought shotgun jam
en_0147257,"Works like a charm....

We received this today. It's beautiful. Love the shiny chrome. Easy to install. Took about 10 minutes. Just needed to open up the battery compartment to add six AA batteries and the liquid hand soap. Screwed in the three screws and placed it on our bathroom wall. Works like a charm!",4,4,work like charm received today beautiful love shiny chrome easy install took minute needed open battery compartment add six aa battery liquid hand soap screwed three screw placed bathroom wall work like charm
en_0880725,"If you have large indoor plants it a must!

It made it so much easier to rotate my inside plants!",4,4,large indoor plant must made much easier rotate inside plant
en_0735534,"Five Stars

Solid construction. Not as flimsy as the other inexpensive type C cords out there.",4,4,five star solid construction flimsy inexpensive type c cord
en_0710645,"Well-made and attractive

This is a well-made, very attractive alarm. I received an outdated instructions sheet so when I emailed the company with a question, I received immediate, helpful response. I’m very impressed with this company.",4,4,well made attractive well made attractive alarm received outdated instruction sheet emailed company question received immediate helpful response impressed company
en_0710143,"Don't buy

Not easy to use at all",0,0,buy easy use
en_0072667,"Disappointed

I thought i was receiving two dog jackets. As shown in the picture. I only received the red coat. Picture is misleading and i am disappointed. I am a frequent buyer from amazon. Very disappointed, misleading with the picture above.",1,1,disappointed thought receiving two dog jacket shown picture received red coat picture misleading disappointed frequent buyer amazon disappointed misleading picture
en_0530380,"Just ok.

It was ok needs jewellery to make it look great.",3,3,ok ok need jewellery make look great
en_0930598,"Spring is not very easy to use

Spring is not easy to use. The other items are great",2,2,spring easy use spring easy use item great
en_0948421,"Sexy and exactly as described

This is my second one from Oh La La Cheri because it fits perfectly, is actually open crotch in the right spot, is comfortable and made well enough to last a while. My fiancé loves it.",3,3,sexy exactly described second one oh la la cheri fit perfectly actually open crotch right spot comfortable made well enough last fianc love
en_0475515,"Ink smudges right side of paper all copies

Ink smudges every 2 inches on right edge of paper, all copies , not quality I need to be sending to clients, learned my lesson , 14 $ for two cartridges , will go back to others I ordered that worked fine, pay a little more , get it done right the first time",1,1,ink smudge right side paper copy ink smudge every inch right edge paper copy quality need sending client learned lesson two cartridge go back others ordered worked fine pay little get done right first time
en_0481847,"worst smells like chemicals I hate it never bought powder ...

worst smells like chemicals I hate it never bought powder worst than this afraid to use and get an acne",0,0,worst smell like chemical hate never bought powder worst smell like chemical hate never bought powder worst afraid use get acne
en_0129293,"Is this normal??? What is that?

I have never ordered this brand but heard great things, not sure if those brown areas are normal or not",2,2,normal never ordered brand heard great thing sure brown area normal
en_0466919,"The rubber smell is very strong. But, a great set of mats.

They’re great, durable and fit well. I do recommend setting them outdoors to air out for a few days until you put them in your car.",3,3,rubber smell strong great set mat great durable fit well recommend setting outdoors air day put car
en_0657453,"I would not recommend or buy again

These show with every pair of shoes I have tried then with. They have seams on the toes which make them uncomfortable.",0,0,would recommend buy show every pair shoe tried seam toe make uncomfortable
en_0131147,"Small but good.

These are plain pitted prunes, on the small side and a little dry, with excellent flavor. You may need more of them than usual to create a laxative effect. But they are easy to eat straight from the package and absolutely fine with oatmeal or yogurt in the morning. I ordered them when my local grocery was out of prunes for some reason and was glad to be able to get these from Amazon.",3,3,small good plain pitted prune small side little dry excellent flavor may need usual create laxative effect easy eat straight package absolutely fine oatmeal yogurt morning ordered local grocery prune reason glad able get amazon
en_0343898,"Don't know why I picked these

For some reason, I bought these to ride my bike with in the cold. They suck for that. Not bad for just walking around, though. I didn't know they were touchscreen compatible til I saw the description again, so I can't comment on how well they work on a cellphone.",2,2,know picked reason bought ride bike cold suck bad walking around though know touchscreen compatible til saw description comment well work cellphone
en_0483326,"Runs small

The size was off, I usually wear a lrg. or x-lrg. But this was snug I wanted to order larger but was sold out.",0,0,run small size usually wear lrg x lrg snug wanted order larger sold
en_0930091,"Does not clog like other pens

Writes smoothly and cleanly. Does not dry up and clog between uses. I use it for drawing. I have the extra fine and just ordered the medium. It arrived with the barrel snapped in three pieces. It was shipped in a flexible bubble envelope which probably got bent during shipping. This item is not returnable, but when I contacted Amazon, I did receive a refund. So I am going to order it again and hope it arrives undamaged.",3,3,clog like pen writes smoothly cleanly dry clog us use drawing extra fine ordered medium arrived barrel snapped three piece shipped flexible bubble envelope probably got bent shipping item returnable contacted amazon receive refund going order hope arrives undamaged
en_0622932,"Five Stars

Great product. Delivered timely.",4,4,five star great product delivered timely
en_0697431,"Too heavy to stay in place

This fascinator looked cute when I did not move, but it was too heavy to stay in place. I used the clip on the headband, but the whole thing kept falling forward on my forehead. At the Derby party, I tried taking it off the headband and just clipping it to my hair, but it still was too heavy to stay in place and kept sliding down. It was uncomfortable, and I finally just had to take it off so it did not fall down into my mint julep. :)",1,1,heavy stay place fascinator looked cute move heavy stay place used clip headband whole thing kept falling forward forehead derby party tried taking headband clipping hair still heavy stay place kept sliding uncomfortable finally take fall mint julep
en_0330315,"Very comfortable and soft.

Nice pair of leggings. Very comfortable. I haven’t wash them yet but they seem safe. If not, I’ll update.",4,4,comfortable soft nice pair legging comfortable wash yet seem safe update
en_0544595,"Horrible tool head broke loosening a bolt

Horrible tool. Went to loosen a bolt and the head of the tool broke.",0,0,horrible tool head broke loosening bolt horrible tool went loosen bolt head tool broke
en_0468609,"I'm so disappointed..

I purchased this item to use for my sons prom send off, the only balloons that were able to be used were the latex ones, no foil balloons could be used, also the discription shows a 2018, I was sent a 2019, which means the day of prom last minute I had to go and purchase the correct numbers which cost me an extra 40 dollars... I'm so disappointed..",0,0,disappointed purchased item use son prom send balloon able used latex one foil balloon could used also discription show sent mean day prom last minute go purchase correct number cost extra dollar disappointed
en_0356289,"Good screen. Hate that is used the GPIO

Good screen for the money - looks good. Just hate that it uses most of the GPIO pins which keep them from being used for other things. Otherwise pretty nice.",3,3,good screen hate used gpio good screen money look good hate us gpio pin keep used thing otherwise pretty nice
en_0548600,"Kids love it. I bought two.

Very good toy. Very tuff to.",4,4,kid love bought two good toy tuff
en_0489815,"2 markers were dried out and unusable

2 of my markers were dry. The f Green and purple markers were completely dry. Unsatisfactory",0,0,marker dried unusable marker dry f green purple marker completely dry unsatisfactory
en_0785924,"Trite. Patronizing. Shallow.

Do yourself a favor and check it out from the library before buying this book. Wish I had. Trust your gut instinct. That's it. Nothing more.",1,1,trite patronizing shallow favor check library buying book wish trust gut instinct nothing
en_0300154,"I like them because sometimes you order thing that are not ...

I like them because sometimes you order thing that are not the size they say. these are large the size they say love them.",4,4,like sometimes order thing like sometimes order thing size say large size say love
